blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
W-50-1-A0132;1;A1;0.5;33091;635;66.4;68.1;313.0;15.2;5;4620;CONFLICT;25;0.0194;0.263;0.0456;0.328
W-50-1-A0121;1;A1;0.5;28796;524;30.9;32.4;292.0;10.7;5;4726;CONFLICT;24;0.0092;0.264;0.0321;0.305
V-50-1-A0522;1;A1;0.5;11914;640;18.2;19.3;238.0;11.3;5;4326;VERIFIED;21;0.0055;0.262;0.0338;0.301
test|V-50-1-A0522.pdf;1;A1;0.5;11512;361;17.8;18.8;238.0;9.4;5;4326;VERIFIED;21;0.0054;0.262;0.0282;0.295
src|06 - PO Andersson - Ghostscript 9.21|Badskon 1.pdf;1;A3;0.125;13783;264;28.1;29.2;222.0;8.0;5;3989;VERIFIED;3;0.0083;0.26;0.0241;0.292
z|3|3.pdf;1;A3;0.125;13758;168;31.7;32.6;221.0;7.3;5;3989;VERIFIED;5;0.0093;0.26;0.022;0.291
z|3|5.pdf;1;A3;0.125;13658;165;26.2;27.5;221.0;6.1;5;4031;VERIFIED;2;0.0078;0.26;0.0184;0.286
Priorn|V-50-1-A0302.pdf;1;A1;0.5;17092;394;52.4;53.0;258.0;8.1;4;3463;TEXT_ONLY;3;0.0151;0.209;0.0244;0.249
z|13|1760282_1.pdf;1;A1;0.5;18195;464;22.6;24.0;247.0;8.0;4;3172;VERIFIED;11;0.0068;0.208;0.024;0.239
SJÄLVSTYRELSEGÅRDEN|V-570-1-010-130.pdf;1;A1;0.5;50534;1679;646.4;648.2;377.0;17.2;0;0;CONFLICT;0;0.185;0.0;0.0517;0.237
Rundstickan|V-50-1-B0323.pdf;1;A1;0.5;9157;248;8.9;9.7;222.0;4.6;4;3746;VERIFIED;1;0.0028;0.211;0.0138;0.227
z|9|12.pdf;1;A1;0.5;14796;207;17.1;18.3;223.0;3.2;4;3229;VERIFIED;5;0.0052;0.208;0.0097;0.223
W-50-1-A0122;1;A1;0.5;31439;579;47.5;49.1;302.0;15.8;3;2815;CONFLICT;24;0.014;0.158;0.0474;0.22
V-50-1-A0112;1;A1;0.5;13277;754;21.8;23.1;242.0;12.5;3;2760;VERIFIED;30;0.0066;0.158;0.0374;0.202
TOFTASKOLAN HUS B|11.4 Teknisk beskrivning VVS.pdf;96;A3;6.3;21075;6747;71.6;73.3;535.0;60.5;0;0;FROM_THE_SET;0;0.0209;0.0;0.1816;0.202
V-50-1-A0123;1;A1;0.5;13636;714;20.8;21.9;244.0;12.3;3;2809;VERIFIED;25;0.0062;0.158;0.0368;0.201
